
2024-11-26,70.0,70.0,70.0,70.0,0.0,250,17500,17500
2023-06-15,70.0,70.0,70.0,70.0,0.0,234,16380,16380
2021-02-09,70.0,70.0,70.0,70.0,0.0,4082,285740,285740
2020-11-06,70.0,70.0,70.0,70.0,0.0,320,22400,22400
2020-09-29,70.0,70.0,70.0,70.0,0.0,234,16380,16380
2019-03-13,70.0,70.0,70.0,70.0,0.0,313,21910,21910
2019-01-22,70.0,70.0,70.0,70.0,0.0,450,31500,31500
2019-01-21,70.0,70.0,70.0,70.0,0.0,300,21000,21000
2018-11-05,70.0,70.0,70.0,70.0,0.0,250,17500,17500
2018-10-15,70.0,70.0,70.0,70.0,0.0,300,21000,21000
2016-04-11,70.0,70.0,70.0,70.0,0.0,182,12740,12740
